x,y,z,station_id,date,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_max,day_air_tmp_max_qc,day_wind_spd_avg,day_wind_spd_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_dew_pnt,day_dew_pnt_qc
"47","2014-09-10","11.9","35.3","23.3","9.4","5.21","5.35","0","255","122","1.6","1.7","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"155","2014-09-10","14.2","34.8","24","10.7",,,"0","232",,"0.5","1.6","0.9"," "," "," "," ","N","N"," "," ","N"," "," "," "
"170","2014-09-10","10.6","35.7","22.6","8.8","5.06","5.1","0.1","266","127","1.1","1.6","0.5"," "," "," "," "," "," "," "," "," "," "," "," "
"6","2014-09-10","17.9","36.5","28.7","8","5.29","5.58","0","352","122","1.9","1.5","0.7","Y"," ","Y","Y"," "," "," ","R","R"," "," "," "
"121","2014-09-10","10","35.3","21.5","10.7","4.98","5.16","0","266","125","1.4","1.9","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"196","2014-09-10",,"38","30","5.5","5.4","5.23","0","258","121","1","1.9",,"S"," "," "," "," "," "," "," "," "," "," ","S"
"131","2014-09-10","12.8","36","23.9","9.8","4.69","4.63","0","244","117","0.8","1.7","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"212","2014-09-10","11.5","36.8","23","10.2","4.63","4.74","0","231","113","1.7","1.6","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"166","2014-09-10","9.2","36","21.6","11.7","4.77",,"0","270","128","1","2.2","1"," "," "," "," "," ","N"," "," "," "," "," "," "
"70","2014-09-10","10","33.9","22","12.7","4.81","4.86","0","264","129","1.1","2","0.9"," "," "," "," "," "," "," "," "," "," "," "," "
"71","2014-09-10","10.8","33.4","21.3","11.9","4.81","4.84","0.1","258","128","1.3","2","1"," "," "," "," "," "," "," "," "," "," "," "," "
"191","2014-09-10","11","36.9","23.1","8.9","5.36","5.34","0","248","129","1.4","1.4","0.6"," "," "," "," "," "," "," "," "," "," "," "," "
"167","2014-09-10","12.1","35","23.7","8.3","5.2","5.22","0","250","120","1.4","1.6","0.7"," "," "," "," "," "," "," "," "," "," "," "," "
"140","2014-09-10","12.1","34.7","22.5","11.2","5","5.22","0","268","126","1.6","2.2","0.8"," "," "," "," "," "," "," "," "," "," "," "," "
"139","2014-09-10",,"33.8","28.2","7.4",,,"0","320",,"1.3","1.6",,"S"," ","Y","Y","N","N"," ","R","N"," "," ","S"
